"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"89","Bengaluru, Karnataka","1","Unnamed Road, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",2313,1723,3104
"89","Bengaluru, Karnataka","2","9th Cross Bhel Layout, Adityanagar, Vidyaranyapura, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",2346,1755,3135
"89","Bengaluru, Karnataka","3","15th A Cross Road, Yelahanka Satellite Town, Yelahanka, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",2095,1553,2825
"89","Bengaluru, Karnataka","4","SP Naidu Layout 4th Cross Street, SP Naidu Layout, Dooravani Nagar, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1703,1208,2399
"89","Bengaluru, Karnataka","5","Medahalli Kadugodi Road, Bharathi Nagar, Krishnarajapura, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",2035,1458,2839
"89","Bengaluru, Karnataka","6","0 Kodigehalli Main Road, Kodigehalli, Krishnarajapura, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",2381,1755,3228
"89","Bengaluru, Karnataka","7","Justice Bheemiah Layout 1st Main Road, Roshan Nagar, Krishnarajapura, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1713,1202,2439
"89","Bengaluru, Karnataka","8","100 2nd Cross Road, A Narayanapura, Mottappa Compound, Udaya Nagar, Mahadevapura, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1428,991,2057
"89","Bengaluru, Karnataka","9","Ranganatha Layout, Ranganatha Layout, Mahadevapura, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1761,1259,2461
"89","Bengaluru, Karnataka","10","HAL Old Airport Road, HAL Airport Area, HAL, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1205,848,1710
"89","Bengaluru, Karnataka","11","Vidyaranyapura Road, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1949,1440,2636
"89","Bengaluru, Karnataka","12","5th Main Singapura Layout, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",2375,1745,3230
"89","Bengaluru, Karnataka","13","0 8th Cross Road, Yelahanka, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1782,1277,2485
"89","Bengaluru, Karnataka","14","Manyata Tech Park Road, Manyata Residency, Manayata Tech Park, Thanisandra, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",2075,1547,2782
"89","Bengaluru, Karnataka","15","0 Amruthahalli Main Road, Talacauvery Layout, Sharada Nagar, Sneha Nagar, Byatarayanapura, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1458,1004,2115
"89","Bengaluru, Karnataka","16","Gulmohar Residency, 6th A Cross Road, Bhadrappa Layout, Koti Hosahalli, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",1359,912,2024
"89","Bengaluru, Karnataka","17","GKVK Road, Vignana Kendra, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",2231,1667,2985
"89","Bengaluru, Karnataka","18","1188, Sir M Vishweshwaraiah Layout 6th Block, Vishveshwaraya Nagar, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",2172,1666,2831
"89","Bengaluru, Karnataka","19","3rd Cross Road, Stage II, Kengeri Satellite Town, Bengaluru","3/1/2020 - 3/31/2020, Every day, Daily Average",2131,1607,2824
"89","Bengaluru, Karnataka","20","0 Thigalarapalya Main Road, Peenya 2nd Stage, Vaddarapalya, Ragavendra Industrial Estate, Karihobanahalli","3/1/2020 - 3/31/2020, Every day, Daily Average",2759,2105,3615
